,Date,pe_ratio_value,close
0,1970-01-02,15.897,93.0
1,1970-01-05,13.8678,93.45999908447266
2,1970-01-06,13.1739,92.81999969482422
3,1970-01-07,14.5616,92.62999725341797
4,1970-01-08,15.209,92.68000030517578
5,1970-01-09,15.7276,92.4000015258789
6,1970-01-12,17.963,91.69999694824219
7,1971-01-04,19.5395,91.1500015258789
8,1971-01-05,18.7274,91.80000305175781
9,1971-01-06,18.5526,92.3499984741211
10,1971-01-07,17.6022,92.37999725341797
11,1971-01-08,18.2376,92.19000244140625
12,1971-01-11,16.4895,91.9800033569336
13,1971-01-12,17.9105,92.72000122070312
14,1972-01-03,18.4509,101.66999816894531
15,1972-01-04,18.0352,102.08999633789062
16,1972-01-05,18.3467,103.05999755859375
17,1972-01-06,17.9464,103.51000213623047
18,1972-01-07,17.4902,103.47000122070312
19,1972-01-10,17.3801,103.31999969482422
20,1972-01-11,18.1729,103.6500015258789
21,1972-01-12,18.3879,103.58999633789062
22,1973-01-02,16.4235,119.0999984741211
23,1973-01-03,16.4,119.56999969482422
24,1973-01-04,14.7953,119.4000015258789
25,1973-01-05,14.5159,119.87000274658203
26,1973-01-08,13.5566,119.8499984741211
27,1973-01-09,14.1001,119.7300033569336
28,1973-01-10,13.2708,119.43000030517578
29,1973-01-11,11.7598,120.23999786376953
30,1973-01-12,11.9547,119.30000305175781
31,1974-01-02,11.5096,97.68000030517578
32,1974-01-03,11.2416,99.80000305175781
33,1974-01-04,10.333,98.9000015258789
34,1974-01-07,8.7058,98.06999969482422
35,1974-01-08,7.9199,96.12000274658203
36,1974-01-09,6.9748,93.41999816894531
37,1974-01-10,8.3127,92.38999938964844
38,1974-01-11,7.8706,93.66000366210938
39,1975-01-02,9.6556,70.2300033569336
40,1975-01-03,9.8651,70.70999908447266
41,1975-01-06,11.9585,71.06999969482422
42,1975-01-07,11.4369,71.0199966430664
43,1975-01-08,11.1959,70.04000091552734
44,1975-01-09,10.808,71.16999816894531
45,1975-01-10,11.1859,72.61000061035156
46,1976-01-02,11.5139,90.9000015258789
47,1976-01-05,10.8303,92.58000183105469
48,1976-01-06,11.2735,93.52999877929688
49,1976-01-07,10.8314,93.94999694824219
50,1976-01-08,10.7759,94.58000183105469
51,1976-01-09,11.0199,94.94999694824219
52,1976-01-12,10.8436,96.33000183105469
53,1977-01-03,9.7639,107.0
54,1977-01-04,9.4472,105.69999694824219
55,1977-01-05,9.2246,104.76000213623047
56,1977-01-06,9.643,105.0199966430664
57,1977-01-07,9.2297,105.01000213623047
58,1977-01-10,8.4793,105.19999694824219
59,1977-01-11,8.708,104.12000274658203
60,1977-01-12,8.7328,103.4000015258789
61,1978-01-03,8.1694,93.81999969482422
62,1978-01-04,8.6224,93.5199966430664
63,1978-01-05,8.6589,92.73999786376953
64,1978-01-06,8.5067,91.62000274658203
65,1978-01-09,8.8626,90.63999938964844
66,1978-01-10,7.5547,90.16999816894531
67,1978-01-11,7.6805,89.73999786376953
68,1978-01-12,7.7948,89.81999969482422
69,1979-01-02,7.2391,96.7300033569336
70,1979-01-03,7.6383,97.80000305175781
71,1979-01-04,7.279,98.58000183105469
72,1979-01-05,7.0873,99.12999725341797
73,1979-01-08,7.4723,98.80000305175781
74,1979-01-09,7.4723,99.33000183105469
75,1979-01-10,6.852,98.7699966430664
76,1979-01-11,7.144,99.0999984741211
77,1979-01-12,7.2638,99.93000030517578
78,1980-01-02,7.4336,105.76000213623047
79,1980-01-03,6.6769,105.22000122070312
80,1980-01-04,7.1145,106.5199966430664
81,1980-01-07,8.3108,106.80999755859375
82,1980-01-08,8.3593,108.94999694824219
83,1980-01-09,8.5697,109.05000305175781
84,1980-01-10,8.6012,109.88999938964844
85,1980-01-11,9.4818,109.91999816894531
86,1981-01-02,9.0034,136.33999633789062
87,1981-01-05,8.8334,137.97000122070312
88,1981-01-06,8.7415,138.1199951171875
89,1981-01-07,8.5737,135.0800018310547
90,1981-01-08,8.0413,133.05999755859375
91,1981-01-09,7.6084,133.47999572753906
92,1981-01-12,7.9785,133.52000427246094
93,1982-01-04,8.2174,122.73999786376953
94,1982-01-05,7.8956,120.05000305175781
95,1982-01-06,7.7354,119.18000030517578
96,1982-01-07,7.8975,118.93000030517578
97,1982-01-08,8.8134,119.55000305175781
98,1982-01-11,10.9597,116.77999877929688
99,1982-01-12,11.1266,116.30000305175781
100,1983-01-03,12.3156,138.33999633789062
101,1983-01-04,13.0604,141.36000061035156
102,1983-01-05,12.8983,141.9600067138672
103,1983-01-06,13.3153,145.27000427246094
104,1983-01-07,12.2226,145.17999267578125
105,1983-01-10,11.6572,146.77999877929688
106,1983-01-11,11.8603,145.77999877929688
107,1983-01-12,11.7555,146.69000244140625
108,1984-01-03,10.4312,164.0399932861328
109,1984-01-04,9.8796,166.77999877929688
110,1984-01-05,9.2932,168.80999755859375
111,1984-01-06,9.4556,169.27999877929688
112,1984-01-09,10.0302,168.89999389648438
113,1984-01-10,9.9814,167.9499969482422
114,1984-01-11,9.8305,167.8000030517578
115,1984-01-12,10.0505,167.75
